06; 015; 00; 00; 00; 00; A
06; 030; 00; 00; 00; 00; B
06; 045; 00; 00; 00; 00; C
06; 075; 00; 00; 00; 00; D
06; 105; 00; 00; 00; 00; E
06; 135; 00; 00; 00; 00; F
06; 180; 00; 00; 00; 00; G
06; 240; 00; 00; 00; 00; H
06; 315; 00; 00; 00; 00; I
06; 360; 00; 00; 00; 00; J
08; 015; 00; 00; 00; 00; B
08; 030; 00; 00; 00; 00; C
08; 045; 00; 00; 00; 00; D
08; 060; 00; 00; 00; 00; E
08; 090; 00; 00; 00; 00; F
08; 105; 00; 00; 00; 00; G
08; 135; 00; 00; 00; 00; H
08; 165; 00; 00; 00; 00; I
08; 195; 00; 00; 00; 00; J
08; 255; 00; 00; 00; 00; K
08; 300; 00; 00; 00; 00; L
08; 360; 00; 00; 00; 00; M
10; 015; 00; 00; 00; 00; B
10; 030; 00; 00; 00; 00; C
10; 045; 00; 00; 00; 00; D
10; 060; 00; 00; 00; 00; F
10; 075; 00; 00; 00; 00; G
10; 105; 00; 00; 00; 00; H
10; 120; 00; 00; 00; 00; I
10; 135; 00; 00; 00; 00; J
10; 165; 00; 00; 00; 00; K
10; 180; 00; 00; 00; 00; L
10; 240; 00; 00; 00; 00; M
10; 255; 00; 00; 00; 00; N
10; 315; 00; 00; 00; 00; O
10; 330; 00; 00; 00; 00; P
10; 360; 00; 00; 00; 01; P
12; 005; 00; 00; 00; 00; A
12; 015; 00; 00; 00; 00; B
12; 025; 00; 00; 00; 00; C
12; 035; 00; 00; 00; 00; D
12; 045; 00; 00; 00; 00; E
12; 055; 00; 00; 00; 00; F
12; 065; 00; 00; 00; 00; G
12; 080; 00; 00; 00; 00; H
12; 090; 00; 00; 00; 00; I
12; 105; 00; 00; 00; 00; J
12; 120; 00; 00; 00; 00; K
12; 135; 00; 00; 00; 00; L
12; 140; 00; 00; 00; 02; L
12; 150; 00; 00; 00; 04; M
12; 160; 00; 00; 00; 06; M
12; 170; 00; 00; 00; 07; N
12; 180; 00; 00; 00; 09; N
12; 190; 00; 00; 00; 11; N
12; 200; 00; 00; 00; 13; O
12; 210; 00; 00; 00; 14; O
12; 220; 00; 00; 00; 15; O
12; 210; 00; 00; 00; 16; O
12; 240; 00; 00; 00; 17; O
12; 250; 00; 00; 00; 18; P
12; 255; 00; 00; 00; 19; P
12; 270; 00; 00; 00; 22; P
12; 285; 00; 00; 00; 24; P
12; 300; 00; 00; 00; 26; P
12; 315; 00; 00; 00; 27; *
12; 330; 00; 00; 00; 29; *
